Practice Name,Owner / Principal (likely),Dentists on staff,Address,City,Postal Code,Segment,Suggested Tier,General Email (to enrich),Outreach Status
Kingsview Dental,Dr. Kelsey Li,"Dr. Kelsey Li, Dr. Alida Andersen, Dr. Yitong Guo",339 King Street West,Toronto,M5V 1J5,Group,Growth,,
Archer Dental Rosedale,Dr. Natalie Archer,"Dr. Natalie Archer, Dr. Harrison Wong, Dr. Anastasiya Valiushka, Dr. Mariam El Mustapha",600 Sherbourne Street Suite 808,Toronto,M4X 1W4,Group (multi-loc),Scale,,
Waterview Dental,Dr. Hammad Afif,"Dr. Hammad Afif, Dr. Sajeed Haji, Dr. Andrew Park, Dr. Shafak Joyia, Dr. Monika Ayoub, Dr. Aisha Hashmani",218 Queens Quay W,Toronto,M5J,Group,Scale,,
Archer Dental Little Italy,Dr. Natalie Archer,"Dr. Natalie Archer, Dr. Pouriya Motahari, Dr. Mariam El Mustapha",583 College Street,Toronto,M6G 1B2,Group (multi-loc),Scale,,
Cityview Dental,Dr. Hammad Afif,"Dr. Hammad Afif, Dr. Patricia Liu, Dr. Daniel Woojung Kim, Dr. Aftab Erfany, Dr. Neshat Deljoomanesh, Dr. Shadab Khorasanizadeh, Dr. Amanjot Singh",355 Bremner Blvd,Toronto,M5V 3M5,Group,Scale,,
6ix Eglinton Dental,Dr. Mohammed Al-Naqeeb,"Dr. Mohammed Al-Naqeeb, Dr. Marwah Al Dahhan",6 Eglinton Avenue East Unit 306,Toronto,M4P 1A6,Prime,Core,,
One Marine Dental,Dr. Sahar Pazhouhan,"Dr. Sahar Pazhouhan, Dr. Nancy Kamal",1 Marine Parade Drive 101,Toronto,M8V 3Z4,Prime,Core,,
Yorkview Dental,Dr. Ali Morshedi,"Dr. Ali Morshedi, Dr. Stefania Priore",1107 Bay Street,Toronto,M5S,Prime,Core,,
Kingwest Dental Studio,Dr. Venus Sobhi,"Dr. Venus Sobhi, Dr. Oranous Sobhi, Dr. Rojia Rezania, Dr. Milos Plestic",725 King St W Unit 105,Toronto,M5V 2W9,Group,Growth,,
Kingwest Dental,Dr. Venus Sobhi,"Dr. Venus Sobhi, Dr. Oranous Sobhi, Dr. Rojia Rezania, Dr. Ehsan Baghani, Dr. Chantal Dimitri",700 King St W Suite 8,Toronto,M5V 2Y6,Group,Growth,,
