behavior_id,behavior_under_test,carrier,agent,workflow_stage,critical_rule,existing_coverage,newly_added_coverage,duplicate_or_rejected,reason
off_topic_tangent,Rep goes on an unrelated tangent,generic,Claims_Agent,conversation,none,off_topic_tangent,,covered,Pre-existing hand-authored scenario; 216-framework's 6 carrier variants add no behavioral difference — rejected as superficial duplication
wrong_claim_redirect,Rep tries to discuss a different claim/patient,generic,Claims_Agent,conversation,must not discuss unrelated claim,wrong_claim_redirect;S012;S015,,covered,Pre-existing; 216-framework's claim_confusion (6 carrier variants) rejected as duplicate — same behavior, no carrier-specific difference in script logic
bot_accusation,Rep questions whether caller is a bot,generic,Claims_Agent,conversation,must not claim to be human,bot_accusation;S009;S016;S019;S023,,covered,Pre-existing; 216-framework's bot_accusation (6 carrier variants) rejected as duplicate
jumbled_issues,Rep gives several mixed pieces of information at once,generic,Claims_Agent,conversation,none,compound_jumbled_response,,covered,Pre-existing; 216-framework's jumbled_issues (6 carrier variants) rejected as duplicate
settlement_pressure,Rep offers an on-the-spot reduced settlement,generic,Claims_Agent,conversation,must not accept settlement,settlement_pressure,,covered,Pre-existing; 216-framework's settlement_pressure (6 carrier variants) rejected as duplicate
vague_response,Rep gives filler/non-answers instead of information,generic,Claims_Agent,conversation,vague response must not be treated as resolved,vague_non_answer_loop;S005;S010;S038,,covered,Pre-existing; 216-framework's vague_response (6 carrier variants) rejected as duplicate
personal_question,Rep asks the agent a personal/curious question,generic,Claims_Agent,conversation,none,personal_question,,covered,Pre-existing; 216-framework's personal_question (6 carrier variants) rejected as duplicate
rep_frustration,Rep vents about workload/unrelated stress,generic,Claims_Agent,conversation,none,frustration_venting,,covered,Pre-existing; 216-framework's rep_frustration (6 carrier variants) rejected as duplicate
carrier_block_risk,Rep hints at flagging/logging automated callers,generic,Claims_Agent,conversation,must not provoke a carrier block,carrier_block_risk_signal,,covered,Pre-existing; 216-framework's carrier_block_risk (6 carrier variants) rejected as duplicate
claim_confusion,Rep loses track of why the agent is calling,generic,Claims_Agent,conversation,none,confused_about_call_purpose;S021;S026,,covered,Pre-existing; 216-framework's claim_confusion (6 carrier variants) rejected as duplicate
claim_status_approved,Full claim-status happy path ending in payment,per-carrier,Claims_Agent,conversation,resolved claim requires evidence,S001;S020,,covered,S001 (Sun Life) and S020 (Canada Life) already exercise this end-to-end with carrier-specific reference/rep-name capture; the 216-framework's 24 carrier x claim-type rows add no new behavior beyond carrier-name substitution — rejected
claim_status_pending,Claim-status happy path ending in a processing/delay outcome,per-carrier,Claims_Agent,conversation,must capture exact completion date not vague window,S002;S027;S037,,covered,Rejected as duplicate combinatorial expansion — behavior already exercised per-carrier in S002/S027/S037
claim_status_denied,Claim-status happy path ending in denial,per-carrier,Claims_Agent,conversation,must capture denial code/reason/appeal deadline,S003;S013;S033,,covered,Rejected as duplicate combinatorial expansion — behavior already exercised per-carrier in S003/S013/S033
claim_deductible_applied,Partial payment / deductible-reduced payment,per-carrier,Claims_Agent,conversation,must not classify partial payment as fully paid,S014;S029;S042,,covered,Rejected as duplicate combinatorial expansion — this is the flagship anti-hallucination gate already covered by S014/S029/S042 (S042 documents the exact live-sim failure this guards against)
menu_navigation_claim_status,IVR menu navigation to the claims queue,per-carrier,IVR_Navigator,ivr,silent/DTMF-only operation,structural fixture (validateSilentAgentConfig),validateSilentAgentConfig,partially covered,"IVR_Navigator is DTMF/silent-only — an LLM text-completion simulation (used for the conversational agents) does not exercise real tool-call/DTMF behavior. Added a deterministic structural fixture check instead of a fake conversational simulation; full per-carrier IVR menu-tree coverage requires the staging telephony harness in voice-agent-sim/STAGING-VALIDATION-PLAN.md, not this eval"
hold_music_extended,Silent hold-queue waiting,per-carrier,Hold_Sentinel,hold,silent operation until live human speaks,structural fixture (validateSilentAgentConfig),validateSilentAgentConfig,partially covered,"Same rationale as menu_navigation_claim_status — Hold_Sentinel never converses; structural fixture only, staging telephony test needed for full coverage"
menu_invalid_selection_recovery,IVR recovers from an invalid menu selection,per-carrier,IVR_Navigator,ivr,retry without dropping the call,not covered,,rejected,"Requires a real DTMF/tool-call simulation harness this eval does not have (see menu_navigation_claim_status rationale). Not fabricated as 'tested' — flagged as a genuine gap for the staging telephony validation plan, not silently dropped"
dispute_pre-existing,Escalation_Closer handling of a pre-existing-condition denial,per-carrier,Escalation_Closer,handoff/closure,must not commit to a documentation timeline,esc_no_timeline_commitment,esc_no_timeline_commitment,newly added,"Escalation_Closer had zero eval coverage before this change. Added one behavior-focused scenario (not 6 carrier variants — Escalation_Closer's script does not branch on carrier) covering the 'do not commit to a timeline' rule that applies regardless of the specific denial reason"
dispute_frequency,Escalation_Closer handling of a frequency-limitation denial,per-carrier,Escalation_Closer,handoff/closure,must not commit to a documentation timeline,esc_no_timeline_commitment,esc_no_timeline_commitment,duplicate,Same underlying Escalation_Closer behavior as dispute_pre-existing — the denial reason does not change Escalation_Closer's script logic. One scenario covers the actual behavior; six carrier x reason variants would be superficial duplication
dispute_missing-preauth,Escalation_Closer handling of a missing-preauth denial,per-carrier,Escalation_Closer,handoff/closure,must not commit to a documentation timeline,esc_no_timeline_commitment,esc_no_timeline_commitment,duplicate,Same rationale as dispute_frequency
dispute_not-covered,Escalation_Closer handling of a not-covered denial,per-carrier,Escalation_Closer,handoff/closure,must not commit to a documentation timeline,esc_no_timeline_commitment,esc_no_timeline_commitment,duplicate,Same rationale as dispute_frequency
dispute_deductible,Escalation_Closer handling of a deductible-related denial,per-carrier,Escalation_Closer,handoff/closure,must not commit to a documentation timeline,esc_no_timeline_commitment,esc_no_timeline_commitment,duplicate,Same rationale as dispute_frequency
escalation_missing_reference,Escalation_Closer captures a reference number it was not handed,generic,Escalation_Closer,handoff/closure,reference number required before close,not covered,esc_missing_reference_asks_once,newly added,New behavior not present anywhere in the 216-framework or the existing library — Escalation_Closer's own cold-ask branch had no coverage
payment_verification_success,Resolution_Closer confirms a clean paid closure,per-carrier,Resolution_Closer,closure,reference number required before close (REFERENCE NET),res_reference_net_asks_before_close;res_no_reask_when_reference_known,res_reference_net_asks_before_close;res_no_reask_when_reference_known,newly added,"Resolution_Closer had zero eval coverage before this change. Two behavior-focused scenarios cover the REFERENCE NET blocking rule both ways (must ask once when missing / must not re-ask when known) — the carrier is not a variable in Resolution_Closer's script, so no carrier fan-out was added"
payment_delay_investigation,Resolution_Closer confirms a delayed-payment closure,per-carrier,Resolution_Closer,closure,must not modify the handed-off outcome,res_does_not_modify_handed_off_outcome,res_does_not_modify_handed_off_outcome,newly added,Covers the 'do not renegotiate the outcome from Claims_Agent' rule — the specific reason for the delay does not change Resolution_Closer's script logic, so no per-carrier or per-reason fan-out was added
partial_payment_explanation,Resolution_Closer confirms a partial-payment closure,per-carrier,Resolution_Closer,closure,must not modify the handed-off outcome,res_does_not_modify_handed_off_outcome,,duplicate,Same underlying Resolution_Closer behavior as payment_delay_investigation — rejected as duplicate
