scenario_id,tier,layer,agent,carrier,category,scenario_name,setup_summary,curveball,expected_outcome,expected_behaviors,forbidden_behaviors,harness,automation_ref,status,source,notes
S001,P0,conversation,Claims_Agent,Sun Life,Happy path,Cooperative rep — full resolution,,,Resolved,,,eval_conversation,conversation-robustness-eval:S001,wired,scratchpad,Claims_Agent conversation proxy; IVR-native path still ivr_research_call
S002,P0,conversation,Claims_Agent,Canada Life,Happy path,Cooperative rep — delay reason,,,Resolved,,,eval_conversation,conversation-robustness-eval:S002,wired,scratchpad,
S003,P0,conversation,Claims_Agent,Manulife,Happy path,Cooperative rep — denial reason captured,,,Resolved,,,eval_conversation,conversation-robustness-eval:S003,wired,scratchpad,
S004,P0,ivr,IVR_Navigator,Green Shield Canada,IVR adversity,IVR menu drift,,Menu changed since config,Failed (IVR/technical),,,eval_conversation,conversation-robustness-eval:S004,wired,scratchpad,Conversation-layer proxy; full IVR still scripts/ivr-research/research-call.cjs
S005,P0,ivr,IVR_Navigator,RBC Insurance,IVR adversity,IVR callback offer,,Press 1 for callback in 2h,Failed (IVR/technical),,,eval_conversation,conversation-robustness-eval:S005,wired,scratchpad,Conversation-layer proxy; full IVR still scripts/ivr-research/research-call.cjs
S006,P0,ivr,IVR_Navigator,TELUS AdjudiCare,IVR adversity,French-first IVR,,QC French menu; EN-only agent,Failed (IVR/technical),,,eval_conversation,conversation-robustness-eval:S006,wired,scratchpad,Conversation-layer proxy; full IVR still scripts/ivr-research/research-call.cjs
S007,P0,conversation,Claims_Agent,Sun Life,Authentication adversity,Auth field order differs,,DOB before practice ID,Resolved,,,eval_conversation,conversation-robustness-eval:S007,wired,scratchpad,
S008,P0,conversation,Claims_Agent,Canada Life,Authentication adversity,Rep rejects tokenized policy format,,Demands raw policy number,Needs Human Follow-Up,,,eval_conversation,conversation-robustness-eval:S008,wired,scratchpad,
S009,P0,conversation,Claims_Agent,Manulife,Authentication adversity,Rep refuses robots,,Will not authenticate agent,Failed (carrier refusal),,,eval_conversation,conversation-robustness-eval:S009,wired,scratchpad,
S010,P0,conversation,Claims_Agent,Green Shield Canada,Rep behavior adversity,Vague pending answer,,Under review — call next week,Pending,,,eval_conversation,conversation-robustness-eval:S010,wired,scratchpad,
