Task,Phase,Area,Priority,Owner,EstimateDays,Dependency,Status,Definition of Done
"Pilot guardrail: lock single-practice scope until Day-90 decision","Phase 6","Product","P0","Khalid",0.25,"None","Not Started","Written guardrail approved and shared with all contributors"
"Enumerate PHI fields and outbound allowlist","Phase 0","Security","P0","Khalid",0.5,"None","Not Started","Documented field matrix approved and shared"
"Enforce UUID-only third-party payload transformer","Phase 0","Backend","P0","Eng",1,"Enumerate PHI fields and outbound allowlist","Not Started","All outbound calls pass UUID-only payload tests"
"Add webhook signature verification and replay window","Phase 0","Security","P0","Eng",0.5,"None","Not Started","Invalid signatures rejected and replay tests pass"
"Rotate all exposed credentials","Phase 0","Security","P0","Khalid",0.5,"None","Not Started","Old credentials invalidated and replacements active"
"Wire AWS Parameter Store in staging runtime","Phase 0","DevOps","P1","Eng",1,"Rotate all exposed credentials","Not Started","Staging services read secrets only from parameter store"
"Add structured audit logs with PII scrubbing","Phase 0","Security","P0","Eng",1,"Enforce UUID-only third-party payload transformer","Not Started","Audit traces available with no PII leakage"
"Produce Phase 0 compliance evidence pack","Phase 0","Ops","P1","Khalid",0.5,"Add structured audit logs with PII scrubbing","Not Started","Evidence links attached and signed off"
"Harden Electron IPC contracts and permissions","Phase 1-2","Desktop","P0","Eng",1,"None","Not Started","Only approved IPC channels/messages work"
"Add single-instance/tray recovery/crash telemetry","Phase 1-2","Desktop","P1","Eng",0.5,"Harden Electron IPC contracts and permissions","Not Started","No duplicate app instances and crash events visible"
"Finalize Windows service lifecycle (install/start/stop)","Phase 1-2","Desktop","P0","Eng",1,"None","Not Started","Service operations succeed consistently"
"Add service recovery policy with retry caps","Phase 1-2","Desktop","P1","Eng",0.5,"Finalize Windows service lifecycle (install/start/stop)","Not Started","Service auto-recovers from simulated failure"
"Build CI pipeline for installer build/sign/upload","Phase 1-2","DevOps","P0","Eng",1,"None","Not Started","Signed installer artifact produced in CI"
"Validate dashboard webview routing/offline states","Phase 1-2","Frontend","P1","Eng",0.5,"Harden Electron IPC contracts and permissions","Not Started","Offline/failed-load paths are visible and recoverable"
"Run end-to-end Abeldent sync validation","Phase 1-2","Backend","P0","Eng",1,"Finalize Windows service lifecycle (install/start/stop)","Not Started","Sample sync completes with expected records"
"Define rules JSON schema and validator","Phase 3","Backend","P0","Eng",1,"None","Not Started","Schema linting enforced in CI"
"Create 6 carrier rules packs with versions","Phase 3","Backend","P0","Eng",1.5,"Define rules JSON schema and validator","Not Started","Versioned packs published for all target carriers"
"Implement estimate engine core calculations","Phase 3","Backend","P0","Eng",2,"Define rules JSON schema and validator","Not Started","Coverage/deductible/max logic deterministic"
"Implement COB module","Phase 3","Backend","P0","Eng",1,"Implement estimate engine core calculations","Not Started","Primary/secondary flows validated by tests"
"Implement post-adjudication reconciliation worker","Phase 3","Backend","P1","Eng",1,"Implement estimate engine core calculations","Not Started","Variance events generated and stored"
"Implement TELUS TPA handling branch","Phase 3","Backend","P1","Eng",0.5,"Create 6 carrier rules packs with versions","Not Started","TELUS flows route correctly in tests"
"Build 30+ deterministic rules-engine tests","Phase 3","QA","P0","Eng",1.5,"Implement COB module","Not Started","30+ cases pass in CI"
